Admin_Unit_Code,Sub_Unit_Code,Plot_Name,Location_Type,Year,Date,Start_Time,End_Time,Observer,Visit,Interval_Length,ID_Method,Distance,Flyover_Observed,Common_Name,Scientific_Name,AcceptedTSN,TaxonCode,AOU_Code,PIF_Watchlist_Status,Regional_Stewardship_Status,Temperature,Humidity,Sky,Wind,Disturbance,Previously_Obs,Initial_Three_Min_Cnt,Time Of Day,Temperature Category,Humidity Category
ANTI,NA,ANTI-0054,Grassland,2018,2018-05-22,05:35:00,05:45:00,Elizabeth Oswald,1,2.50,Singing,50 - 100 Meters,FALSE,Chipping Sparrow,Spizella passerina,179435,84781,CHSP,FALSE,FALSE,20.00,79.00,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,Slight effect on count,FALSE,TRUE,Morning,Moderate,High
ANTI,NA,ANTI-0054,Grassland,2018,2018-05-22,05:35:00,05:45:00,Elizabeth Oswald,1,10.00,Singing,50 - 100 Meters,FALSE,Eastern Bluebird,Sialia sialis,179801,87184,EABL,FALSE,FALSE,20.00,79.00,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,Slight effect on count,FALSE,FALSE,Morning,Moderate,High
ANTI,NA,ANTI-0054,Grassland,2018,2018-05-22,05:35:00,05:45:00,Elizabeth Oswald,1,2.50,Singing,<= 50 Meters,FALSE,Grasshopper Sparrow,Ammodramus savannarum,179333,83867,GRSP,FALSE,FALSE,20.00,79.00,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,Slight effect on count,FALSE,TRUE,Morning,Moderate,High
ANTI,NA,ANTI-0054,Grassland,2018,2018-05-22,05:35:00,05:45:00,Elizabeth Oswald,1,2.50,Singing,50 - 100 Meters,FALSE,Eastern Bluebird,Sialia sialis,179801,87184,EABL,FALSE,FALSE,20.00,79.00,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,Slight effect on count,FALSE,TRUE,Morning,Moderate,High
ANTI,NA,ANTI-0054,Grassland,2018,2018-05-22,05:35:00,05:45:00,Elizabeth Oswald,1,2.50,Singing,50 - 100 Meters,FALSE,Field Sparrow,Spizella pusilla,179443,84790,FISP,FALSE,TRUE,20.00,79.00,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,Slight effect on count,FALSE,TRUE,Morning,Moderate,High
ANTI,NA,ANTI-0054,Grassland,2018,2018-05-22,05:35:00,05:45:00,Elizabeth Oswald,1,2.50,Calling,50 - 100 Meters,FALSE,American Crow,Corvus brachyrhynchos,179731,87106,AMCR,FALSE,FALSE,20.00,79.00,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,Slight effect on count,FALSE,TRUE,Morning,Moderate,High
ANTI,NA,ANTI-0054,Grassland,2018,2018-05-22,05:35:00,05:45:00,Elizabeth Oswald,1,2.50,Calling,50 - 100 Meters,FALSE,Eastern Kingbird,Tyrannus tyrannus,178279,85757,EAKI,FALSE,FALSE,20.00,79.00,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,Slight effect on count,FALSE,TRUE,Morning,Moderate,High
ANTI,NA,ANTI-0054,Grassland,2018,2018-05-22,05:35:00,05:45:00,Elizabeth Oswald,1,5.00,Singing,50 - 100 Meters,FALSE,Indigo Bunting,Passerina cyanea,179150,94257,INBU,FALSE,TRUE,20.00,79.00,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,Slight effect on count,FALSE,FALSE,Morning,Moderate,High
ANTI,NA,ANTI-0054,Grassland,2018,2018-05-22,05:35:00,05:45:00,Elizabeth Oswald,1,7.50,Singing,50 - 100 Meters,FALSE,Northern Cardinal,Cardinalis cardinalis,179124,94228,NOCA,FALSE,FALSE,20.00,79.00,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,Slight effect on count,FALSE,FALSE,Morning,Moderate,High
ANTI,NA,ANTI-0054,Grassland,2018,2018-05-22,05:35:00,05:45:00,Elizabeth Oswald,1,7.50,Singing,50 - 100 Meters,FALSE,Mourning Dove,Zenaida macroura,177125,82737,MODO,FALSE,FALSE,20.00,79.00,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,Slight effect on count,FALSE,FALSE,Morning,Moderate,High
ANTI,NA,ANTI-0054,Grassland,2018,2018-05-22,05:35:00,05:45:00,Elizabeth Oswald,1,7.50,Singing,50 - 100 Meters,FALSE,Eastern Towhee,Pipilo erythrophthalmus,179276,83803,EATO,FALSE,TRUE,20.00,79.00,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,Slight effect on count,FALSE,FALSE,Morning,Moderate,High
ANTI,NA,ANTI-0054,Grassland,2018,2018-05-22,05:35:00,05:45:00,Elizabeth Oswald,1,10.00,Singing,50 - 100 Meters,FALSE,Song Sparrow,Melospiza melodia,179492,85643,SOSP,FALSE,FALSE,20.00,79.00,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,Slight effect on count,FALSE,FALSE,Morning,Moderate,High
ANTI,NA,ANTI-0054,Grassland,2018,2018-05-22,05:35:00,05:45:00,Elizabeth Oswald,1,10.00,Singing,50 - 100 Meters,FALSE,Tree Swallow,Tachycineta bicolor,178431,87391,TRES,FALSE,FALSE,20.00,79.00,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,Slight effect on count,FALSE,FALSE,Morning,Moderate,High
ANTI,NA,ANTI-0028,Grassland,2018,2018-05-22,06:56:00,07:06:00,Elizabeth Oswald,1,2.50,Singing,<= 50 Meters,FALSE,Indigo Bunting,Passerina cyanea,179150,94257,INBU,FALSE,TRUE,19.80,80.30,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE,TRUE,Morning,Moderate,High
ANTI,NA,ANTI-0028,Grassland,2018,2018-05-22,06:56:00,07:06:00,Elizabeth Oswald,1,10.00,Singing,50 - 100 Meters,FALSE,Northern Cardinal,Cardinalis cardinalis,179124,94228,NOCA,FALSE,FALSE,19.80,80.30,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE,FALSE,Morning,Moderate,High
ANTI,NA,ANTI-0028,Grassland,2018,2018-05-22,06:56:00,07:06:00,Elizabeth Oswald,1,2.50,Singing,50 - 100 Meters,FALSE,Carolina Wren,Thryothorus ludovicianus,178581,88350,CARW,FALSE,FALSE,19.80,80.30,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE,TRUE,Morning,Moderate,High
ANTI,NA,ANTI-0028,Grassland,2018,2018-05-22,06:56:00,07:06:00,Elizabeth Oswald,1,2.50,Singing,<= 50 Meters,FALSE,Carolina Wren,Thryothorus ludovicianus,178581,88350,CARW,FALSE,FALSE,19.80,80.30,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE,TRUE,Morning,Moderate,High
ANTI,NA,ANTI-0028,Grassland,2018,2018-05-22,06:56:00,07:06:00,Elizabeth Oswald,1,2.50,Singing,<= 50 Meters,FALSE,Blackpoll Warbler,Setophaga striata,950041,773819,BLPW,FALSE,FALSE,19.80,80.30,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE,TRUE,Morning,Moderate,High
ANTI,NA,ANTI-0028,Grassland,2018,2018-05-22,06:56:00,07:06:00,Elizabeth Oswald,1,2.50,Singing,<= 50 Meters,FALSE,Brown-headed Cowbird,Molothrus ater,179112,94215,BHCO,FALSE,FALSE,19.80,80.30,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE,TRUE,Morning,Moderate,High
ANTI,NA,ANTI-0028,Grassland,2018,2018-05-22,06:56:00,07:06:00,Elizabeth Oswald,1,2.50,Singing,50 - 100 Meters,FALSE,Mourning Dove,Zenaida macroura,177125,82737,MODO,FALSE,FALSE,19.80,80.30,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE,TRUE,Morning,Moderate,High
ANTI,NA,ANTI-0028,Grassland,2018,2018-05-22,06:56:00,07:06:00,Elizabeth Oswald,1,5.00,Visualization,50 - 100 Meters,FALSE,Brown-headed Cowbird,Molothrus ater,179112,94215,BHCO,FALSE,FALSE,19.80,80.30,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE,FALSE,Morning,Moderate,High
ANTI,NA,ANTI-0028,Grassland,2018,2018-05-22,06:56:00,07:06:00,Elizabeth Oswald,1,10.00,Singing,<= 50 Meters,FALSE,Baltimore Oriole,Icterus galbula,179083,93655,BAOR,FALSE,FALSE,19.80,80.30,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE,FALSE,Morning,Moderate,High
ANTI,NA,ANTI-0028,Grassland,2018,2018-05-22,06:56:00,07:06:00,Elizabeth Oswald,1,7.50,Visualization,,TRUE,Fish Crow,Corvus ossifragus,179737,87112,FICR,FALSE,FALSE,19.80,80.30,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE,FALSE,Morning,Moderate,High
ANTI,NA,ANTI-0028,Grassland,2018,2018-05-22,06:56:00,07:06:00,Elizabeth Oswald,1,7.50,Calling,50 - 100 Meters,FALSE,Great Crested Flycatcher,Myiarchus crinitus,178309,85791,GCFL,FALSE,FALSE,19.80,80.30,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE,FALSE,Morning,Moderate,High
ANTI,NA,ANTI-0028,Grassland,2018,2018-05-22,06:56:00,07:06:00,Elizabeth Oswald,1,5.00,Calling,<= 50 Meters,FALSE,American Robin,Turdus migratorius,179759,87136,AMRO,FALSE,FALSE,19.80,80.30,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE,FALSE,Morning,Moderate,High
